"TID","NL"
"string","string"
"TID_10TH_CLASHIVERSARY_SCENERY","10e Clash-jaardagsomgeving"
"TID_3_WIN_BONUS","Drie-overwinningen-bonus"
"TID_9TH_CLASHIVERSARY_SCENERY","9e Clash-jaardagsomgeving"
"TID_ABILITY","Speciaal talent"
"TID_ABILITY_COOLDOWN","Afkoeltijd: <number> sec."
"TID_ABILITY_FREE_KICK","Vrije trap"
"TID_ABILITY_FREE_KICK_INFO","Schiet richting het dichtstbijzijnde verdedigingswerk en brengt <num> schade toe."
"TID_ABILITY_THROW_IN","Inworp"
"TID_ABILITY_THROW_IN_INFO","Stuitert twee keer, vernietigt muren en brengt <num> schade toe bij elke landing."
"TID_ABOUT","Credits\n\n<names>\n\nClash of Clans™ <version>\nCopyright 2012-2024 Supercell Ltd. Alle rechten voorbehouden.\nIn afwachting van Amerikaans octrooi.\nIeder gebruik van deze software is onderhevig aan de Algemene voorwaarden en het Privacybeleid op www.supercell.com."
"TID_ABOUT_BUTTON","Info"
"TID_ABOUT_FACEBOOK","Facebook"
"TID_ABOUT_TITLE","Info"
"TID_ABOUT_TWITTER","Twitter"
"TID_ABOUT_WEIBO","Weibo"
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","Verzoek accepteren?"
"TID_ACCEPT_EXISTING_CHALLENGE","Uitdaging aanvaarden?"
"TID_ACCEPT_FRIENDLY_WAR_NOT_AVAILABLE_IN_MODE","Keer terug naar huis om de uitdaging voor een vriendschappelijke oorlog te accepteren!"
"TID_ACCEPT_FRIEND_CONFIRMATION","Wil je <name> toevoegen als Clash-vriend?"
"TID_ACCEPT_FRIEND_CONFIRMATION_TITLE","Vriend toevoegen?"
"TID_ACCEPT_FRIEND_ERROR_BANNED","Speler is verbannen en kan niet als vriend worden toegevoegd."
"TID_ACCEPT_FRIEND_ERROR_GENERIC","Vriend kan niet worden toegevoegd. Probeer het later opnieuw"
"TID_ACCEPT_FRIEND_ERROR_TOO_MANY_FRIENDS","Vriend kan niet worden toegevoegd, want je vriendenlijst is vol!"
"TID_ACCEPT_NOT_AVAILABLE_IN_MODE","Keer terug naar huis om verzoeken te beantwoorden!"
"TID_ACCEPT_PRIVACY_SUGGESTIONS","Accepteren"
"TID_ACCONT_LOCKED_TEXT","Je account is om veiligheidsredenen vergrendeld. Voer de ontgrendelcode in om je account te herstellen."
"TID_ACCOUNT","Apparaten"
"TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT","Dit account is verwijderd wegens inactiviteit en kan niet meer worden hersteld."
