"TID","PT"
"string","string"
"TID_10TH_CLASHIVERSARY_SCENERY","Paisagem de 10º aniversário"
"TID_3_WIN_BONUS","Bônus de 3 vitórias"
"TID_9TH_CLASHIVERSARY_SCENERY","Paisagem de 9º aniversário"
"TID_ABILITY","Habilidade especial"
"TID_ABILITY_COOLDOWN","Tempo de espera: <number>s"
"TID_ABILITY_FREE_KICK","Artilharia"
"TID_ABILITY_FREE_KICK_INFO","Ataca a defesa mais próxima, causando <num> de dano."
"TID_ABILITY_THROW_IN","Arremesso Lateral"
"TID_ABILITY_THROW_IN_INFO","Quica duas vezes, destrói muros e causa <num> de dano toda vez que acerta."
"TID_ABOUT","Créditos\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012-2024 Supercell Ltd. Todos os direitos reservados.\nPatente pendente nos EUA.\nO uso deste software está sujeito aos Termos de Uso e à Política de Privacidade disponíveis em www.supercell.com."
"TID_ABOUT_BUTTON","Sobre"
"TID_ABOUT_FACEBOOK","Facebook"
"TID_ABOUT_TITLE","Sobre"
"TID_ABOUT_TWITTER","Twitter"
"TID_ABOUT_WEIBO","Weibo"
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","Aceitar pedido de participação?"
"TID_ACCEPT_EXISTING_CHALLENGE","Aceitar desafio?"
"TID_ACCEPT_FRIENDLY_WAR_NOT_AVAILABLE_IN_MODE","Volte para casa para aceitar o desafio de guerra amistosa!"
"TID_ACCEPT_FRIEND_CONFIRMATION","Gostaria de adicionar <name> aos seus amigos do Clash?"
"TID_ACCEPT_FRIEND_CONFIRMATION_TITLE","Adicionar amigo?"
"TID_ACCEPT_FRIEND_ERROR_BANNED","O jogador foi banido e não pode ser adicionado como amigo."
"TID_ACCEPT_FRIEND_ERROR_GENERIC","Não foi possível adicionar o amigo. Tente de novo mais tarde."
"TID_ACCEPT_FRIEND_ERROR_TOO_MANY_FRIENDS","Não foi possível adicionar o amigo. Sua lista está cheia."
"TID_ACCEPT_NOT_AVAILABLE_IN_MODE","Volte à sua vila para responder aos pedidos!"
"TID_ACCEPT_PRIVACY_SUGGESTIONS","Aceitar"
"TID_ACCONT_LOCKED_TEXT","Sua conta foi bloqueada por motivos de segurança. Insira o código de desbloqueio para recuperar a conta."
"TID_ACCOUNT","Dispositivos"
"TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT","Esta conta foi desativada por inatividade e não pode mais ser recuperada."
"TID_ACCOUNT_DELETED_ON_REQUEST_TEXT","Esta conta foi desativada devido a uma solicitação de exclusão e não pode mais ser recuperada."
"TID_ACCOUNT_DELETION_SOON_WARNING_TEXT","Atendendo à sua solicitação, sua conta será excluída em breve."
"TID_ACCOUNT_DELETION_WARNING_CONTACT_PS","Você solicitou a exclusão desta conta. Você tem <time> para cancelar a exclusão."
"TID_ACCOUNT_DELETION_WARNING_TEXT","Atendendo ao seu pedido, sua conta será excluída em <time>. Caso tenha mudado de ideia, entre em contato com Ajuda e Suporte para cancelar a solicitação."
