"TID","EN"
"string","string"
"TID_10TH_CLASHIVERSARY_SCENERY","10th Clashiversary Scenery"
"TID_3_WIN_BONUS","3-Win Bonus"
"TID_9TH_CLASHIVERSARY_SCENERY","9th Clashiversary Scenery"
"TID_ABILITY","Special Ability"
"TID_ABILITY_COOLDOWN","Cooldown <number>s"
"TID_ABILITY_FREE_KICK","Free Kick"
"TID_ABILITY_FREE_KICK_INFO","Targets closest Defense causing <num> damage"
"TID_ABILITY_THROW_IN","Throw In"
"TID_ABILITY_THROW_IN_INFO","Bounces twice, destroys Walls and causes <num> damage each time it lands"
"TID_ABOUT","Credits\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012-2024 Supercell Ltd. All Rights Reserved.\nUS Patent Pending\nAll use of this software is subject to Terms and Conditions and Privacy Policy at www.supercell.com."
"TID_ABOUT_BUTTON","About"
"TID_ABOUT_FACEBOOK","Facebook"
"TID_ABOUT_TITLE","About"
"TID_ABOUT_TWITTER","Twitter"
"TID_ABOUT_WEIBO","Weibo"
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","Accept join request?"
"TID_ACCEPT_EXISTING_CHALLENGE","Accept challenge?"
"TID_ACCEPT_FRIENDLY_WAR_NOT_AVAILABLE_IN_MODE","Return home to accept Friendly War challenge!"
"TID_ACCEPT_FRIEND_CONFIRMATION","Would you like to add <name> as your Clash Friend?"
"TID_ACCEPT_FRIEND_CONFIRMATION_TITLE","Add Friend?"
"TID_ACCEPT_FRIEND_ERROR_BANNED","Player has been banned, unable to add as friend."
"TID_ACCEPT_FRIEND_ERROR_GENERIC","Failed to add friend, try again later"
"TID_ACCEPT_FRIEND_ERROR_TOO_MANY_FRIENDS","Failed to add friend, your friend list is full!"
"TID_ACCEPT_NOT_AVAILABLE_IN_MODE","Return home to reply to requests!"
"TID_ACCEPT_PRIVACY_SUGGESTIONS","Accept"
"TID_ACCONT_LOCKED_TEXT","Your account has been locked for security reasons. Enter the unlock code to recover your account."
"TID_ACCOUNT","Devices"
"TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT","This account has been disabled due to inactivity and can no longer be recovered."
"TID_ACCOUNT_DELETED_ON_REQUEST_TEXT","This account has been disabled due to a deletion request and can no longer be recovered."
"TID_ACCOUNT_DELETION_SOON_WARNING_TEXT","Following your request your account will be deleted soon."
"TID_ACCOUNT_DELETION_WARNING_CONTACT_PS","You have requested this account to be deleted. You have <time> left to cancel the deletion."
"TID_ACCOUNT_DELETION_WARNING_TEXT","Following your request your account will be deleted in <time>. If you have changed your mind contact Help and Support to cancel your deletion request."
"TID_ACCOUNT_DELETION_WARNING_TITLE","Account Deletion Warning"
"TID_ACCOUNT_DISABLED_TEXT","Account Disabled"
"TID_ACCOUNT_LOCKED_INVALID_CODE","Invalid unlock code!"
"TID_ACCOUNT_LOCKED_TEXT2","Enter unlock code here:"
"TID_ACCOUNT_LOCKED_TITLE","Account Locked"
"TID_ACCOUNT_SWITCHING_NOT_SUPPORTED","You are signed in to a GameCenter account belonging to Chief <name>'s Village.\n\nThis Village is available to play, but switching to this account is not supported below iOS version 7. To switch to this account, please update your iOS version.\n\nMore information about iOS updates:\nhttp://support.apple.com/kb/HT4623"
"TID_ACHIEVEMENTS_COMPLETED","Completed:"
"TID_ACHIEVEMENTS_INFO","Achievements also in Game Center"
"TID_ACHIEVEMENTS_INFO_ANDROID","Achievements also in Google Play"
"TID_ACHIEVEMENTS_PROGRESS","Progress"
"TID_ACHIEVEMENTS_REWARD","Rewards:"
"TID_ACHIEVEMENTS_VILLAGE1","Home Village Achievements"
"TID_ACHIEVEMENTS_VILLAGE2","Builder Base Achievements"
"TID_ACHIEVEMENTS_VILLAGE3","Clan Capital"
"TID_ACHIEVEMENT_ACCOUNT_BOUND","Protect your Village by connecting to a social network"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_COMPLETED","Completed!"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_GAME_CENTER","Connect to Game Center"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_KUNLUN","Your Village is safeguarded"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_TENCENT","Connect to WeChat or QQ"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_TENCENT_AND_GAME_CENTER","Connect to WeChat, QQ or Game Center"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_TITLE","Keep Your Account Safe!"
"TID_ACHIEVEMENT_ACTIVATE_SUPER_TROOP","Boost a Super Troop <number> times"
"TID_ACHIEVEMENT_ACTIVATE_SUPER_TROOP_COMPLETED","Total times Super Troops boosted: <value>"
"TID_ACHIEVEMENT_ACTIVATE_SUPER_TROOP_TITLE","Superb Work"
"TID_ACHIEVEMENT_CASTLE_COMPLETED","Current Clan Castle level: <value>"
"TID_ACHIEVEMENT_CASTLE_REPAIR","Rebuild the Clan Castle"
"TID_ACHIEVEMENT_CASTLE_TITLE","Empire Builder"
"TID_ACHIEVEMENT_CASTLE_UPGRADE","Upgrade Clan Castle to level <number>"
"TID_ACHIEVEMENT_CHALLENGE_BUTTON","Challenge friends"
"TID_ACHIEVEMENT_CLAIM_BUTTON","Claim Reward"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS","Earn <number> points in Clan Games"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS_COMPLETED","Total Clan Games points: <value>"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS_TITLE","Games Champion"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS_TITLE_II","Games Champion II"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS_TITLE_III","Games Champion III"
"TID_ACHIEVEMENT_CLEAR_OBSTACLES","Remove <number> obstacles (trees, rocks, bushes)"
"TID_ACHIEVEMENT_CLEAR_OBSTACLES_COMPLETED","Total obstacles removed: <value>"
"TID_ACHIEVEMENT_CLEAR_OBSTACLES_TITLE","Nice and Tidy"
"TID_ACHIEVEMENT_COMPLETED","Achievement Completed!"
"TID_ACHIEVEMENT_DESTROY_ARTILLERY","Destroy <number> Eagle Artilleries in Multiplayer battles"
"TID_ACHIEVEMENT_DESTROY_ARTILLERY_COMPLETED","Total Eagle Artilleries destroyed: <value>"
"TID_ACHIEVEMENT_DESTROY_ARTILLERY_TITLE","Anti-Artillery"
"TID_ACHIEVEMENT_DESTROY_BUILDER","Destroy <number> Builder's Huts in Multiplayer battles"
"TID_ACHIEVEMENT_DESTROY_BUILDER_COMPLETED","Total Builder's Huts destroyed: <value>"
"TID_ACHIEVEMENT_DESTROY_BUILDER_TITLE","Union Buster"
"TID_ACHIEVEMENT_DESTROY_INFERNO","Destroy <number> Inferno Towers in Multiplayer battles"
"TID_ACHIEVEMENT_DESTROY_INFERNO_COMPLETED","Total Inferno Towers destroyed: <value>"
"TID_ACHIEVEMENT_DESTROY_INFERNO_TITLE","Firefighter"
"TID_ACHIEVEMENT_DESTROY_MONOLITH","Destroy <number> Monoliths in Multiplayer Battles"
"TID_ACHIEVEMENT_DESTROY_MONOLITH_COMPLETED","Total Monoliths Destroyed: <value>"
"TID_ACHIEVEMENT_DESTROY_MONOLITH_TITLE","Monolith Masher"
