"Name","Level","IconSWF","IconExportName","TID","InfoTID","Deprecated","AllowedCharacters","Rarity","Claimable","DiamondValue","RequiredBlacksmithLevel","RequiredCharacterLevel","UpgradeResources","UpgradeCosts","MainAbilities","MainAbilityLevels","ExtraAbilities","ExtraAbilityLevels","Speed","HitPoints","AttackRange","AttackSpeedPercentage","DPS","PreviewScenario","HealOnActivation","StrengthWeight"
"String","int","String","String","String","String","boolean","String","String","boolean","int","int","int","String","String","String","String","String","String","int","int","int","int","int","String","int","int"
"Barbarian Crown",1,"sc/ui.sc","icon_gear_BK_BarbDoll","TID_GEAR_TITLE_BARBARIAN_CROWN","TID_GEAR_INFO_BARBARIAN_CROWN",,"Barbarian King;","Common",,,1,1,"CommonOre","120","BarbarianKingSpawnBarbarians","1",,,,281,,,,"GearBarbarianCrown",100,100
,2,,,,,,,,,,1,,"CommonOre","240",,"1",,,,350,,,,,150,200
,3,,,,,,,,,,1,,"CommonOre","360",,"2",,,,425,,,,,200,300
,4,,,,,,,,,,1,,"CommonOre","480",,"2",,,,513,,,,,250,400
,5,,,,,,,,,,1,,"CommonOre","600",,"2",,,,590,,,,,300,500
,6,,,,,,,,,,1,,"CommonOre","720",,"3",,,,668,,,,,350,600
,7,,,,,,,,,,1,,"CommonOre","840",,"3",,,,760,,,,,400,700
,8,,,,,,,,,,1,,"CommonOre","960",,"3",,,,855,,,,,450,800
,9,,,,,,,,,,1,,"CommonOre","1080",,"4",,,,950,,,,,520,900
,10,,,,,,,,,,3,,"CommonOre","1200",,"4",,,,1050,,,,,600,1000
,11,,,,,,,,,,3,,"CommonOre","1320",,"4",,,,1150,,,,,680,1100
,12,,,,,,,,,,3,,"CommonOre","1440",,"5",,,,1314,,,,,770,1200
,13,,,,,,,,,,5,,"CommonOre","1560",,"5",,,,1520,,,,,860,1300
,14,,,,,,,,,,5,,"CommonOre","1680",,"5",,,,1726,,,,,940,1400
,15,,,,,,,,,,5,,"CommonOre","1800",,"6",,,,1932,,,,,1060,1900
,16,,,,,,,,,,7,,"CommonOre","1920",,"6",,,,2138,,,,,1130,2000
,17,,,,,,,,,,7,,"CommonOre","2040",,"6",,,,2344,,,,,1200,2100
,18,,,,,,,,,,7,,,,,"7",,,,2550,,,,,1260,2600
"Iron Fist",1,"sc/ui.sc","icon_gear_BK_RageVial","TID_GEAR_TITLE_IRON_FIST","TID_GEAR_INFO_IRON_FIST",,"Barbarian King;","Common",,,1,1,"CommonOre","120","BarbarianKingRage","1",,,,,,,17,"GearFist",150,100
,2,,,,,,,,,,1,,"CommonOre","240",,"1",,,,,,,22,,225,200
,3,,,,,,,,,,1,,"CommonOre","360",,"2",,,,,,,27,,300,300
