"TID","RU"
"string","string"
"TID_3_WIN_BONUS","Бонус за 3 победы"
"TID_ABILITY","Особая способность:"
"TID_ABILITY_COOLDOWN","Перерыв на <number> с."
"TID_ABILITY_FREE_KICK","Свободный удар"
"TID_ABILITY_FREE_KICK_INFO","Бьет по ближайшему защитному сооружению, нанося <num> ед. урона."
"TID_ABILITY_THROW_IN","Вброс"
"TID_ABILITY_THROW_IN_INFO","Отскакивает дважды, разрушает стены и наносит <num> ед. урона с каждым ударом."
"TID_ABOUT","О программе\n\n<names>\n\nClash of Clans ™ <version>\nАвторские права принадлежат Supercell Ltd., 2012–2024 гг. Все права защищены.\nОжидается выдача патента (США).\nНа любое использование данного программного обеспечения распространяются положения Условий пользования и Политики конфиденциальности, доступных по адресу www.supercell.com."
"TID_ABOUT_BUTTON","О программе"
"TID_ABOUT_FACEBOOK","Facebook"
"TID_ABOUT_TITLE","О программе"
"TID_ABOUT_TWITTER","Twitter"
"TID_ABOUT_WEIBO","Weibo"
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","Разрешить присоединиться?"
"TID_ACCEPT_EXISTING_CHALLENGE","Принять испытание?"
"TID_ACCEPT_FRIENDLY_WAR_NOT_AVAILABLE_IN_MODE","Вернитесь домой, чтобы принять вызов на дружескую войну!"
"TID_ACCEPT_FRIEND_CONFIRMATION","Хотите, чтобы игрок <name> стал вашим другом в Clash?"
"TID_ACCEPT_FRIEND_CONFIRMATION_TITLE","Добавить друга?"
"TID_ACCEPT_FRIEND_ERROR_BANNED","Игрок заблокирован, нельзя добавить в список друзей."
"TID_ACCEPT_FRIEND_ERROR_GENERIC","Не удалось добавить друга, попробуйте позже."
"TID_ACCEPT_FRIEND_ERROR_TOO_MANY_FRIENDS","Не удалось добавить друга, список полон!"
"TID_ACCEPT_NOT_AVAILABLE_IN_MODE","Вернитесь домой, чтобы ответить на запрос."
"TID_ACCEPT_PRIVACY_SUGGESTIONS","Принять"
"TID_ACCONT_LOCKED_TEXT","Ваша учетная запись заблокирована из соображений безопасности. Введите код разблокировки для ее восстановления."
"TID_ACCOUNT","Устройства"
"TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT","Эта учетная запись отключена в связи с неактивностью и не может быть восстановлена."
"TID_ACCOUNT_DELETED_ON_REQUEST_TEXT","Эта учетная запись отключена после запроса на удаление и не может быть восстановлена."
"TID_ACCOUNT_DELETION_SOON_WARNING_TEXT","Ваша учетная запись будет скоро удалена в соответствии с вашим запросом."
"TID_ACCOUNT_DELETION_WARNING_CONTACT_PS","Вы отправили запрос об удалении этой учетной записи. Вы можете отменить запрос в течение <time>"
"TID_ACCOUNT_DELETION_WARNING_TEXT","После запроса на удаление ваша учетная запись будет удалена через <time> Для отмены запроса на удаление обратитесь к разделу «Помощь и поддержка»."
"TID_ACCOUNT_DELETION_WARNING_TITLE","Удаление учетной записи"
"TID_ACCOUNT_DISABLED_TEXT","Учетная запись отключена"
"TID_ACCOUNT_LOCKED_INVALID_CODE","Неверный код разблокировки!"
"TID_ACCOUNT_LOCKED_TEXT2","Введите код разблокировки:"
"TID_ACCOUNT_LOCKED_TITLE","Учетная запись заблокирована"
"TID_ACCOUNT_SWITCHING_NOT_SUPPORTED","Вы вошли в учетную запись Game Center, принадлежащую деревне вождя <name>.\n\nЭта деревня доступна для игры, но переход на эту учетную запись невозможен на устройствах с iOS ниже 7-й версии. Пожалуйста обновите вашу версию iOS, чтобы войти в учетную запись.\n\nДополнительная информация на сайте:\nhttp://support.apple.com/kb/HT4623?viewlocale=ru_RU"
"TID_ACHIEVEMENTS_COMPLETED","Завершено:"
"TID_ACHIEVEMENTS_INFO","Достижения в Game Center"
"TID_ACHIEVEMENTS_INFO_ANDROID","Достижения в Google Play"
"TID_ACHIEVEMENTS_PROGRESS","Достижения"
"TID_ACHIEVEMENTS_REWARD","Награды:"
"TID_ACHIEVEMENTS_VILLAGE1","Достижения родной деревни"
"TID_ACHIEVEMENTS_VILLAGE2","Достижения деревни строителя"
"TID_ACHIEVEMENTS_VILLAGE3","Столица клана"
"TID_ACHIEVEMENT_ACCOUNT_BOUND","Подключите свою учетную запись к социальной сети для безопасного сохранения."
"TID_ACHIEVEMENT_ACCOUNT_BOUND_COMPLETED","Готово!"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_GAME_CENTER","Подключитесь к Game Center"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_KUNLUN","Деревня под защитой"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_TENCENT","Подключиться к WeChat или QQ"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_TENCENT_AND_GAME_CENTER","Подключиться к WeChat, QQ или Game Center"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_TITLE","Деревня в безопасности"
"TID_ACHIEVEMENT_ACTIVATE_SUPER_TROOP","Усильте супервоина <number> р."
"TID_ACHIEVEMENT_ACTIVATE_SUPER_TROOP_COMPLETED","Усилено супервоинов: <value>"
"TID_ACHIEVEMENT_ACTIVATE_SUPER_TROOP_TITLE","Суперсила"
"TID_ACHIEVEMENT_CASTLE_COMPLETED","Уровень крепости клана: <value>"
"TID_ACHIEVEMENT_CASTLE_REPAIR","Восстановите крепость клана"
"TID_ACHIEVEMENT_CASTLE_TITLE","Строитель империй"
