"TID","TH"
"string","string"
"TID_3_WIN_BONUS","โบนัสชนะ 3 ครั้ง"
"TID_ABILITY","ความสามารถพิเศษ"
"TID_ABILITY_COOLDOWN","คูลดาวน์ <number> วินาที"
"TID_ABILITY_FREE_KICK","ฟรีคิก"
"TID_ABILITY_FREE_KICK_INFO","เล็งการป้องกันที่ใกล้ที่สุดและสร้างความเสียหาย <num> หน่วย"
"TID_ABILITY_THROW_IN","โยนบอล"
"TID_ABILITY_THROW_IN_INFO","โยนบอลเด้งสองครั้ง ทำลายกำแพง และสร้างความเสียหาย <num> หน่วยในแต่ละครั้งที่เด้ง"
"TID_ABOUT","เครดิต\n\n<names>\n\nClash of Clans ™ <version>\nลิขสิทธิ์ถูกต้อง 2012-2024 Supercell Ltd. สงวนลิขสิทธิ์\nกำลังรอสิทธิบัตรสหรัฐฯ\nการใช้งานซอฟต์แวร์นี้ทั้งหมดขึ้นกับข้อกำหนดและเงื่อนไขและนโยบายความเป็นส่วนตัว ณ www.supercell.com"
"TID_ABOUT_BUTTON","เกี่ยวกับ"
"TID_ABOUT_FACEBOOK","Facebook"
"TID_ABOUT_TITLE","เกี่ยวกับ"
"TID_ABOUT_TWITTER","Twitter"
"TID_ABOUT_WEIBO","Weibo"
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","รับคำขอเข้าร่วมหรือไม่?"
"TID_ACCEPT_EXISTING_CHALLENGE","ยอมรับคำท้าหรือไม่?"
"TID_ACCEPT_FRIENDLY_WAR_NOT_AVAILABLE_IN_MODE","กลับบ้านเพื่อรับคำท้าสงครามฉันมิตร!"
"TID_ACCEPT_FRIEND_CONFIRMATION","ต้องการเพิ่ม <name> เป็นเพื่อน Clash ของท่านหรือไม่?"
"TID_ACCEPT_FRIEND_CONFIRMATION_TITLE","เพิ่มเพื่อนหรือไม่?"
"TID_ACCEPT_FRIEND_ERROR_BANNED","ผู้เล่นถูกแบน ไม่สามารถเพิ่มเป็นเพื่อนได้"
"TID_ACCEPT_FRIEND_ERROR_GENERIC","การเพิ่มเป็นเพื่อนล้มเหลว ลองอีกครั้งในภายหลัง"
"TID_ACCEPT_FRIEND_ERROR_TOO_MANY_FRIENDS","การเพิ่มเป็นเพื่อนล้มเหลว รายชื่อเพื่อนของท่านเต็มแล้ว!"
"TID_ACCEPT_NOT_AVAILABLE_IN_MODE","กลับบ้านเพื่อตอบรับคำขอ!"
"TID_ACCEPT_PRIVACY_SUGGESTIONS","ยอมรับ"
"TID_ACCONT_LOCKED_TEXT","บัญชีของท่านถูกล็อคด้วยเหตุผลทางความปลอดภัย ใส่รหัสปลดล็อคเพื่อกู้คืนบัญชีของท่าน"
"TID_ACCOUNT","อุปกรณ์"
"TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT","บัญชีนี้ถูกปิดการใช้งานเนื่องจากไม่มีการเคลื่อนไหวและไม่สามารถกู้คืนได้อีกต่อไป"
"TID_ACCOUNT_DELETED_ON_REQUEST_TEXT","บัญชีนี้ถูกปิดการใช้งานเนื่องจากคำขอให้ทำการลบและไม่สามารถกู้คืนได้อีกต่อไป"
"TID_ACCOUNT_DELETION_SOON_WARNING_TEXT","อีกไม่นานบัญชีของท่านจะถูกลบตามคำขอ"
"TID_ACCOUNT_DELETION_WARNING_CONTACT_PS","ท่านได้ทำการขอให้ลบบัญชีนี้ ท่านเหลือเวลาในการยกเลิกการลบอยู่ <time>"
"TID_ACCOUNT_DELETION_WARNING_TEXT","จากคำขอของท่าน บัญชีของท่านจะถูกลบภายใน <time> หากท่านเปลี่ยนใจ กรุณาติดต่อฝ่ายความช่วยเหลือและการสนับสนุนเพื่อยกเลิกคำขอลบบัญชี"
"TID_ACCOUNT_DELETION_WARNING_TITLE","คำเตือนการลบบัญชี"
"TID_ACCOUNT_DISABLED_TEXT","ปิดใช้งานบัญชีแล้ว"
"TID_ACCOUNT_LOCKED_INVALID_CODE","รหัสปลดล็อคไม่ถูกต้อง!"
"TID_ACCOUNT_LOCKED_TEXT2","ใส่รหัสปลดล็อคที่นี่:"
"TID_ACCOUNT_LOCKED_TITLE","บัญชีถูกล็อค"
"TID_ACCOUNT_SWITCHING_NOT_SUPPORTED","ท่านได้ลงชื่อเข้าใช้บัญชี GameCenter ที่เป็นของหมู่บ้านของท่านหัวหน้า <name>\n\nหมู่บ้านนี้สามารถเล่นได้ แต่การสลับมายังบัญชีนี้จะไม่รองรับใน iOS เวอร์ชั่นต่ำกว่า 7 หากจะเปลี่ยนมายังบัญชีนี้ โปรดอัปเดตเวอร์ชั่น iOS ของท่าน\n\nข้อมูลเพิ่มเติมสำหรับอัปเดตขอ"
"TID_ACHIEVEMENTS_COMPLETED","เสร็จไปแล้ว:"
"TID_ACHIEVEMENTS_INFO","ความสำเร็จที่อยู่ใน Game Center ด้วย"
"TID_ACHIEVEMENTS_INFO_ANDROID","ความสำเร็จที่อยู่ใน Google Play ด้วย"
"TID_ACHIEVEMENTS_PROGRESS","ความคืบหน้า"
"TID_ACHIEVEMENTS_REWARD","รางวัล:"
"TID_ACHIEVEMENTS_VILLAGE1","ความสำเร็จหมู่บ้านตนเอง"
"TID_ACHIEVEMENTS_VILLAGE2","ความสำเร็จฐานช่างก่อสร้าง"
"TID_ACHIEVEMENTS_VILLAGE3","เมืองหลวงแคลน"
"TID_ACHIEVEMENT_ACCOUNT_BOUND","เชื่อมต่อบัญชีของท่านไปยังเครือข่ายโซเชียลเพื่อรักษาบัญชีให้ปลอดภัย"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_COMPLETED","เสร็จสิ้นแล้ว!"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_GAME_CENTER","เชื่อมต่อไปยัง Game Center"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_KUNLUN","หมู่บ้านของท่านถูกปกป้องอย่างปลอดภัยแล้ว"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_TENCENT","เชื่อมต่อไปยัง WeChat หรือ QQ"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_TENCENT_AND_GAME_CENTER","เชื่อมต่อไปยัง WeChat, QQ หรือ Game Center"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_TITLE","ปกป้องหมู่บ้านท่านให้ปลอดภัย"
"TID_ACHIEVEMENT_ACTIVATE_SUPER_TROOP","บูสต์ซูเปอร์กองกำลัง <number> ครั้ง"
"TID_ACHIEVEMENT_ACTIVATE_SUPER_TROOP_COMPLETED","ซูเปอร์กองกำลังที่บูสต์ไปทั้งหมด: <value>"
"TID_ACHIEVEMENT_ACTIVATE_SUPER_TROOP_TITLE","กองทัพระดับซูเปอร์"
"TID_ACHIEVEMENT_CASTLE_COMPLETED","เลเวลปราสาทแคลนปัจจุบัน: <value>"
"TID_ACHIEVEMENT_CASTLE_REPAIR","สร้างปราสาทแคลนขึ้นมาใหม่"
"TID_ACHIEVEMENT_CASTLE_TITLE","สร้างอาณาจักร"
"TID_ACHIEVEMENT_CASTLE_UPGRADE","อัปเกรดปราสาทแคลนเป็นเลเวล <number>"
"TID_ACHIEVEMENT_CHALLENGE_BUTTON","ท้าทายเพื่อน"
"TID_ACHIEVEMENT_CLAIM_BUTTON","รับรางวัล"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS","ได้ <number> แต้มในเกมแคลน"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS_COMPLETED","แต้มเกมแคลนรวม: <value>"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS_TITLE","แชมเปียนเกม"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS_TITLE_II","แชมเปียนเกม 2"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS_TITLE_III","แชมเปียนเกม 3"
"TID_ACHIEVEMENT_CLEAR_OBSTACLES","ลบสิ่งกีดขวาง (ต้นไม้, หิน, พุ่มไม้) <number> จุด"
"TID_ACHIEVEMENT_CLEAR_OBSTACLES_COMPLETED","สิ่งกีดขวางที่กำจัดแล้วทั้งหมด: <value>"
"TID_ACHIEVEMENT_CLEAR_OBSTACLES_TITLE","สะอาดเอี่ยม"
"TID_ACHIEVEMENT_COMPLETED","ความสำเร็จเสร็จสิ้นแล้ว!"
"TID_ACHIEVEMENT_DESTROY_ARTILLERY","ทำลายปืนใหญ่อินทรี <number> กระบอกในการรบแบบผู้เล่นหลายคน"
"TID_ACHIEVEMENT_DESTROY_ARTILLERY_COMPLETED","ปืนใหญ่อินทรีที่ทำลายไปทั้งหมด: <value>"
"TID_ACHIEVEMENT_DESTROY_ARTILLERY_TITLE","ทลายอินทรี"
"TID_ACHIEVEMENT_DESTROY_BUILDER","ทำลายกระต๊อบช่างก่อสร้าง <number> หลังในการรบแบบผู้เล่นหลายคน"
"TID_ACHIEVEMENT_DESTROY_BUILDER_COMPLETED","กระต๊อบช่างก่อสร้างที่ทำลายไปทั้งหมด: <value>"
"TID_ACHIEVEMENT_DESTROY_BUILDER_TITLE","พังสหภาพ"
"TID_ACHIEVEMENT_DESTROY_INFERNO","ทำลายหอคอยเพลิงนรก <number> หอในการรบแบบผู้เล่นหลายคน"
"TID_ACHIEVEMENT_DESTROY_INFERNO_COMPLETED","หอคอยเพลิงนรกที่ทำลายไปทั้งหมด: <value>"
"TID_ACHIEVEMENT_DESTROY_INFERNO_TITLE","นักดับเพลิง"
"TID_ACHIEVEMENT_DESTROY_MONOLITH","ทำลายเสามรณะ <number> ต้นในการรบแบบผู้เล่นหลายคน"
"TID_ACHIEVEMENT_DESTROY_MONOLITH_COMPLETED","เสามรณะที่ทำลายไปทั้งหมด: <value>"
"TID_ACHIEVEMENT_DESTROY_MONOLITH_TITLE","นักทุบเสามรณะ"
"TID_ACHIEVEMENT_DESTROY_MORTARS","ทำลายปืนครก <number> ลำในการรบแบบผู้เล่นหลายคน"
"TID_ACHIEVEMENT_DESTROY_MORTARS_COMPLETED","ปืนครกที่ทำลายไปทั้งหมด: <value>"
"TID_ACHIEVEMENT_DESTROY_MORTARS_TITLE","พังปืนครก"
"TID_ACHIEVEMENT_DESTROY_SCATTERSHOT","ทำลายเครื่องยิงหิน <number> เครื่องในการรบแบบผู้เล่นหลายคน"
"TID_ACHIEVEMENT_DESTROY_SCATTERSHOT_COMPLETED","เครื่องยิงหินที่ทำลายไปทั้งหมด: <value>"
"TID_ACHIEVEMENT_DESTROY_SCATTERSHOT_TITLE","แตกกระจายเป็นเสี่ยง"
"TID_ACHIEVEMENT_DESTROY_SPELL_TOWER","ทำลายหอคอยอาคม <number> หอในการรบแบบผู้เล่นหลายคน"
"TID_ACHIEVEMENT_DESTROY_SPELL_TOWER_COMPLETED","หอคอยอาคมที่ทำลายไปทั้งหมด: <value>"
"TID_ACHIEVEMENT_DESTROY_SPELL_TOWER_TITLE","ผู้โต้กลับอาคม"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL","ทำลายศาลากลาง <number> หลังในการรบแบบผู้เล่นหลายคน"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL2","ทำลายหอช่างก่อสร้าง <number> แห่งในศึกช่างก่อสร้าง"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL2_COMPLETED","หอช่างก่อสร้างที่ทำลายไปโดยรวม: <value>"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL2_TITLE","เลิกสร้าง"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL_COMPLETED","ศาลากลางที่ทำลายไปทั้งหมด: <value>"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL_TITLE","สร้างความอับอาย"
"TID_ACHIEVEMENT_DESTROY_WALLS","ทำลายกำแพง <number> ช่องในการรบแบบผู้เล่นหลายคน"
"TID_ACHIEVEMENT_DESTROY_WALLS_COMPLETED","กำแพงที่ทำลายไปทั้งหมด: <value>"
"TID_ACHIEVEMENT_DESTROY_WALLS_TITLE","ถล่มกำแพง"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_BUILDERS","ทำลายกระต๊อบช่างก่อสร้างติดอาวุธ <number> หลังในการรบแบบผู้เล่นหลายคน"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_BUILDERS_COMPLETED","กระต๊อบช่างก่อสร้างติดอาวุธที่ทำลายไปทั้งหมด: <value>"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_BUILDERS_TITLE","พังกระจุย!"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_TH","ทำลายศาลากลางติดอาวุธ <number> หลังในการรบแบบผู้เล่นหลายคน"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_TH_COMPLETED","ศาลากลางติดอาวุธที่ทำลายไป: <value>"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_TH_TITLE","ไม่ง่ายอย่างที่คิด"
"TID_ACHIEVEMENT_DESTROY_XBOW","ทำลายคันศรเอ็กซ์ <number> อันในการรบแบบผู้เล่นหลายคน"
"TID_ACHIEVEMENT_DESTROY_XBOW_COMPLETED","คันศรเอ็กซ์ที่ทำลายไปทั้งหมด: <value>"
"TID_ACHIEVEMENT_DESTROY_XBOW_ONE","ทำลายคันศรเอ็กซ์หนึ่งอันในการรบแบบผู้เล่นหลายคน"
"TID_ACHIEVEMENT_DESTROY_XBOW_TITLE","นักพังคันศรเอ็กซ์"
"TID_ACHIEVEMENT_DONATE_CAPITAL","สนับสนุนทองคำเมืองหลวง <number> เหรียญสำหรับการอัปเกรดในเมืองหลวงแคลน"
"TID_ACHIEVEMENT_DONATE_CAPITAL_COMPLETED","ทองคำเมืองหลวงที่สนับสนุนทั้งหมด: <value>"
"TID_ACHIEVEMENT_DONATE_CAPITAL_TITLE","เพื่อนร่วมแคลนที่ทรงคุณค่าที่สุด"
"TID_ACHIEVEMENT_DONATE_SEIGES_COMPLETED","เครื่องจักรถล่มเมืองที่บริจาคไปทั้งหมด: <value>"
"TID_ACHIEVEMENT_DONATE_SIEGES","บริจาคเครื่องจักรถล่มเมือง <number> เครื่อง"
"TID_ACHIEVEMENT_DONATE_SIEGES_TITLE","นักแบ่งปันเครื่องยิง"
"TID_ACHIEVEMENT_DONATE_UNITS","บริจาคกำลังเสริมเป็นจำนวนความจุปราสาทแคลน <number> หน่วย"
"TID_ACHIEVEMENT_DONATE_UNITS_COMPLETED","ความจุสิ่งที่บริจาคทั้งหมด: <value>"
"TID_ACHIEVEMENT_DONATE_UNITS_TITLE","มิตรแท้"
"TID_ACHIEVEMENT_DRAGON_SLAYER","สังหารมังกรยักษ์ในแผนที่การศึก"
"TID_ACHIEVEMENT_DRAGON_SLAYER_TITLE","จอมสังหารมังกร"
"TID_ACHIEVEMENT_GEAR_UP","เตรียมสิ่งก่อสร้างให้พร้อม <number> อย่างโดยใช้ช่างก่อสร้างยอดฝีมือ"
"TID_ACHIEVEMENT_GEAR_UP_COMPLETED","สิ่งก่อสร้างที่เตรียมพร้อมทั้งหมด: <value>"
"TID_ACHIEVEMENT_GEAR_UP_ONE","เตรียมสิ่งก่อสร้างให้พร้อมหนึ่งอย่างโดยใช้ช่างก่อสร้างยอดฝีมือ"
