"Name","LinkedPackageID","BillingPackage","TID","InfoTID","AnimatedTID","Disabled","ExistsApple","ExistsAndroid","ExistsKunlun","ExistsBazaar","ExistsTencent","ExistsAmazon","ExistsSCID","DurationDays","ShopItemExportName","ShopInfoItemExportName","ShopItemBG","ShopItemBGColor","TownhallLimitMin","TownhallLimitMax","VillageType","Buildings","BuildingType","BuildingNumber","BuildingLevel","UnlocksTroop","TroopType","GiftGems","GiftUsers","Resources","ResourceAmounts","ResourceAmountFromThCSV","THResourceMultiplier","MagicItems","MagicItemAmounts","RED","Priority","FrontPageItem","TreasureItem","ReplacesBillingPackage","ValueForUI","ValueStarsForUI","TimesCanBePurchased","PremiumPass"
"String","int","String","String","String","String","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","int","String","String","String","String","int","int","int","String","String","int","int","String","String","int","int","String","int","boolean","int","String","int","boolean","int","boolean","boolean","String","int","int","int","boolean"
"Builder3",,"com.supercell.magic.china.builder1",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Builder4",,"com.supercell.magic.china.builder2",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Builder5",,"com.supercell.magic.china.builder3",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TownHall4",,"com.supercell.magic.china.th7",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TownHall4_ALT",,"com.supercell.magic.china.th7",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TownHall5",,"com.supercell.magic.china.th1",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TownHall5_ALT",,"com.supercell.magic.china.th1",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TownHall6",,"com.supercell.magic.china.th1",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TownHall6_ALT",,"com.supercell.magic.china.th1",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TownHall7",,"com.supercell.magic.china.th2",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TownHall7_ALT",,"com.supercell.magic.china.th1",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TownHall8",,"com.supercell.magic.china.th2",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TownHall9",,"com.supercell.magic.china.th2",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TownHall9_ALT",,"com.supercell.magic.china.th2",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
