"Name","Character","IsDefaultSkin","EnabledByCalendar","TID","Icon","Geometry","Texture","NormalMap","MaterialMap","EmissionMap","SWF","SWFTextureExportName","Animation","AltAnimation","CameraDistance","ViewportWidth","ViewportHeight","CelebrateSfx","CelebrateSfxVolume","DeployEffect","AttackEffect","AttackEffect2","AttackEffectAlt","AttackEffect2Alt","HitEffect","DieEffect","AbilityTriggerEffect","AbilityEffect","AbilityActivationEffect","AbilityHitEffect","SkinChangeEffect","ParticleEffect3D","AbilityEffect3D","GunBone","ShadowBone","ProjectileVis","RageProjectileVis","AbilityProjectileVis","SpawnedTroopAnimation","Environment","MakeCreator","ShadowScale","Tier","ThemeIcon","ThemeTID","ThemeYear","FeatureCustomModel","FeatureCustomTextures","FeatureCustomAnimations","FeatureCustomEffects","FeatureCustomSounds","FeatureCustomVoiceovers","FeatureCustomUnits","FeatureExtraAnimations","FeatureExtraEffects","FeatureExtraSounds","ShadowSWF","ShadowExportName","ShadowAlpha","OutlineSize"
"String","String","boolean","boolean","String","String","String","String","String","String","String","String","String","String","String","int","int","int","String","int","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","int","String","String","String","int","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","String","String","int","int"
"BarbarianKingDefault","Barbarian King","TRUE","FALSE","TID_BARBARIAN_KING","image/skin_icons/bk_original.ktx","sc3d/barbking_default_geo.glb","sc3d/barbking_default2_01.ktx","sc3d/barbking_default2_01_normal.ktx","sc3d/barbking_default2_01_material.ktx",,,,"BarbarianKingDefault2",,10000,225,225,,,"Barbarian King Deploy","Barbarian King Attack",,,,,"Barbarian King Die","King Ability Effect",,,,,,,,"hips_s",,,,,"Default",,100,"DEFAULT",,,0,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,0,0
"BarbarianKingGladiator","Barbarian King","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"ArcherQueenDefault","Archer Queen","TRUE","FALSE","TID_ARCHER_QUEEN","image/skin_icons/aq_original.ktx","sc3d/archerqueen_default_geo.glb","sc3d/archerqueen_default_a.ktx","sc3d/archerqueen_default_n.ktx","sc3d/archerqueen_default_m.ktx",,,,"ArcherQueenDefaultSkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"Archer Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","Queen Ability Effect",,,,,,,,"hips_s",,,,,"Default",,100,"DEFAULT",,,0,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,0,0
,,,,,,,,,,,,,,,,,,"sfx/archer_queen_deploy_01.ogg",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GrandWardenDefault","Grand Warden","TRUE","FALSE","TID_GRAND_WARDEN","image/skin_icons/gw_original.ktx","sc3d/grandwarden_default_geo.glb","sc3d/grandwarden_default_01.ktx",,"sc3d/grandwarden_default_01_material.ktx","sc3d/grandwarden_default_01_emission.ktx",,,"GrandWardenDefaultSkin","GrandWardenFlyDefaultSkin",10000,225,225,"sfx/tap_grand_warden_04.ogg",90,"Grand Warden Deploy","GrandWarden Attack",,"GrandWarden Attack Air",,,"Grand Warden Die",,,,,,,,"L_gunbone_01_s","hips_s",,,,,"Default",,100,"DEFAULT",,,0,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,0,0
"PekkaKing","Barbarian King","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"SkeletonKing","Barbarian King","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"JollyKing","Barbarian King","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"PrimalKing","Barbarian King","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"ClockworkKing","Barbarian King","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"PartyKing","Barbarian King","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"ChampionKing","Barbarian King","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"PirateKing","Barbarian King","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"GladiatorQueen","Archer Queen","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"ValkyrieQueen","Archer Queen","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"AutumnQueen","Archer Queen","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"IceQueen","Archer Queen","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"WarriorQueen","Archer Queen","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"PrimalQueen","Archer Queen","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"ClockworkQueen","Archer Queen","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"PirateQueen","Archer Queen","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"PartyWarden","Grand Warden","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"PrimalWarden","Grand Warden","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"ClockworkWarden","Grand Warden","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"GladiatorWarden","Grand Warden","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"PirateWarden","Grand Warden","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"NorthWarden","Grand Warden","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"JungleWarden","Grand Warden","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
"MasterWarden","Grand Warden","FALSE","TRUE",,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"Default",,100,"LEGENDARY",,,,,,,,,,,,,,,,,
