"Name","Emitter","AttachToBone","OnTop","BoundsCheck","ParticleSizeForBoundsCheck","DepthBias","AttachTransform","Rotation"
"String","String","String","boolean","boolean","int","int","String","String"
"archerqueen_league_arrow_spark","skin_league_sparks_aq","arrow_s","true","true",2000,0,"Origin","0;0;0"
"archerqueen_league_arrow_tail","skin_leagur_aq_arrow_tail","Root","true","true",2000,0,"Origin","0;0;0"
,"skin_league_sparks_aq","arrow_s","true","true",2000,0,"Origin","0;0;0"
"autumn_Celebrate","hero_autumn_burst_3D","spine_mid_s","false","true",1800,0,"Origin","0;0;0"
"autumn_Walk","hero_autumn_walk","back_item_03_s","false","true",1000,0,"Origin","0;0;0"
"battlecopter_fx","battlecopter_fire","fx_L_cannonballFront_s","false","true",1000,11,"LockTransform","0;0;0"
,"battlecopter_sparks","fx_L_cannonballFront_s","false","true",0,0,"Origin","0;0;0"
,"battlecopter_fire","fx_L_cannonballRear_s","false","true",0,0,"Origin","0;0;0"
,"battlecopter_sparks","fx_L_cannonballRear_s","false","true",0,0,"Origin","0;0;0"
,"battlecopter_fire","fx_R_cannonballFront_s","false","false",0,0,"Origin","0;0;0"
,"battlecopter_sparks","fx_R_cannonballFront_s","false","false",0,0,"Origin","0;0;0"
,"battlecopter_fire","fx_R_cannonballRear_s","false","false",0,0,"Origin","0;0;0"
,"battlecopter_sparks","fx_R_cannonballRear_s","false","false",0,0,"Origin","0;0;0"
"champ_aq_arrow","hero_champion_aq_firearrow","arrow_s","false","true",300,45,"LockTransform","0;0;0"
,"hero_champion_arrow_spark","arrow_s","false","true",300,46,"Origin","0;0;0"
,"hero_champion_arrow_glow_faint","arrow_s","false","false",0,0,"LockTransform","0;0;0"
"champ_aq_firearrow","hero_champion_aq_firearrow","arrow_s","false","true",1000,11,"LockTransform","0;0;0"
"champ_gw_staff","hero_champion_gw_firestaff","bulb_s","false","true",300,45,"LockTransform","0;0;0"
,"hero_champion_gw_sparks","bulb_s","false","true",400,46,"Origin","0;0;0"
,"hero_champion_gw_glow","bulb_s","false","false",0,0,"LockTransform","0;0;0"
"champ_sword","hero_champion_sword","R_gunbone_01_s","false","true",500,45,"LockTransform","0;0;0"
,"hero_champion_sword_02","R_gunbone_01_s","false","true",500,46,"Origin","0;0;0"
,"hero_champion_sword_spark","R_gunbone_01_s","false","true",1200,46,"Origin","0;0;0"
,"hero_champion_sword_glow","R_gunbone_01_s","false","true",450,47,"LockTransform","0;0;0"
"champ_sword_02","hero_champion_sword_smoke","R_gunbone_01_s","false","true",1000,11,"LockTransform","0;0;0"
,"hero_champion_sword_glow_faint","R_gunbone_01_s","false","false",0,10,"LockTransform","0;0;0"
"champ_sword_menu","hero_champion_sword","R_gunbone_01_s","false","false",500,33,"LockTransform","0;0;0"
,"hero_champion_sword_02","R_gunbone_01_s","false","true",500,34,"Origin","0;0;0"
,"hero_champion_sword_spark","R_gunbone_01_s","false","true",900,34,"Origin","0;0;0"
,"hero_champion_sword_glow","R_gunbone_01_s","false","true",450,35,"LockTransform","0;0;0"
"clockwork_battery","clockwork_battery_fx","L_gunbone_05_s","false","true",200,0,"LockTransform","0;0;0"
"clockwork_glow","clockwork_glow","L_gunbone_01_s","false","true",500,0,"LockTransform","0;0;0"
"clockwork_intensify","clockwork_electricity_burst","L_gunbone_01_s","true","true",2000,0,"LockTransform","0;0;0"
"clockwork_intensify2","clockwork_electricity_burst","L_gunbone_01_s","true","true",2000,0,"LockTransform","0;0;0"
"dark_warden_magicfx","hero_Dark_warden_magicfx","bookBase_s","false","true",1000,11,"LockTransform","0;0;0"
"darkages_aq_fx","darkages_aq_fire","fx_arrowFlame_s","false","true",1000,11,"LockTransform","0;0;0"
,"hero_darkages_aq_sparks","fx_arrowFlame_s","false","true",200,0,"Origin","0;0;0"
,"darkages_aq_smoke","fx_arrowFlame_s","false","true",1000,0,"Origin","0;0;0"
,"hero_darkages_aq_fire2","fx_arrowFlame_s","false","true",1000,0,"Origin","0;0;0"
"electrowl_active","electro_owl_glow",,"true","true",1000,0,"LockTransform","0;0;0"
,"electro_owl_circle",,"true","true",1000,0,"LockTransform","0;0;0"
"electrowl_inactive","electro_owl_glow",,"false","true",1000,0,"LockTransform","0;0;0"
,"electro_owl_circle",,"false","true",1000,0,"LockTransform","0;0;0"
"electrowl_stunned","electro_owl_glow_stunned",,"false","true",1000,0,"LockTransform","0;0;0"
"empty","empty","spine_mid_s","false","true",200,0,"LockTransform","0;0;0"
"flying_fortress_attack","flying_fortress_attack_em","cannonEmitter_jnt","true","true",1000,50,"LockTransform","0;0;0"
"flying_fortress_smoke","flying_fortress_smoke_em","chimneyEmitter_jnt","true","true",1700,50,"Origin","0;0;0"
"goblin_aq_fx","hero_goblin_aq_glow","fx_fuse_s","false","true",1000,11,"LockTransform","0;0;0"
,"hero_goblin_aq_sparks","fx_fuse_s","false","false",0,0,"Origin","0;0;0"
"grandwarden_darkages_weapon_glow","hero_warden_darkages_weapon_glow","fx_mace_s","false","true",500,50,"LockTransform","0;0;0"
,"hero_warden_darkages_weapon_spark","fx_mace_s","false","true",500,50,"LockTransform","0;0;0"
"grandwarden_league_staff_glow","hero_warden_league_staff_glow","fx_staff_jewel_s","false","true",1000,50,"LockTransform","0;0;0"
,"hero_warden_league_spark","fx_staff_jewel_s","false","true",1000,50,"Origin","0;0;0"
"hero_cny_king_tulips","hero_cny_tulips","L_toe_s","false","true",600,-50,"Origin","0;0;0"
"ice_Celebrate","hero_ice_burst","spine_mid_s","false","true",2000,0,"LockTransform","0;0;0"
,"hero_ice_snow_spiral",,"false","true",0,0,"LockTransform","0;0;0"
"ice_mist","hero_ice_mist","spine_mid_s","false","true",900,0,"LockTransform","0;0;0"
"jolly_sword","hero_jolly_sword","L_gunbone_01_s","false","true",300,10,"LockTransform","0;0;0"
"jungle_warden_staff","hero_jungle_warden_glow2","particle_jnt","false","true",0,0,"Origin","0;0;0"
"miner_queen_bomb","miner_fuse_glow_fx","bomb_s","false","true",200,0,"LockTransform","0;0;0"
,"miner_fuse_delay","bomb_s","false","false",0,0,"Origin","0;0;0"
,"miner_candle_glow_fx","head_s","false","false",0,0,"Origin","0;0;0"
,"miner_aq_candle_fire_asset","head_s","false","false",0,0,"Origin","0;0;0"
"miner_queen_bomb_attack","miner_fuse_glow_fx_attack","bomb_s","false","true",200,0,"LockTransform","0;0;0"
,"miner_fuse","bomb_s","false","false",0,0,"Origin","0;0;0"
,"miner_candle_glow_fx","head_s","false","false",0,0,"Origin","0;0;0"
,"miner_aq_candle_fire_asset","head_s","false","false",0,0,"Origin","0;0;0"
"party_bk_purple","party_bk_notes","B_effect_jnt","true","true",0,0,"LockTransform","0;0;0"
"pekka_sword","hero_pekka_sword","L_gunbone_01_s","false","true",300,18,"LockTransform","0;0;0"
"pet_fennec_celebrate","pet_fennec_spark","uppperteeth_s","true","true",1200,0,"LockTransform","0;-90;-90"
"pet_fennec_idle","pet_fennec_spark_slow","uppperteeth_s","false","true",1200,0,"Transform","0;0;0"
"pet_fennec_walk","pet_fennec_spark","uppperteeth_s","false","true",1200,0,"Transform","0;0;0"
"pet_fennec_wardrobe","pet_fennec_spark_slow","hips_s","true","true",200,0,"LockTransform","0;-90;-90"
"pet_lizard_poison","pet_lizard_bubbles","spine01_s","false","true",1000,11,"Origin","0;0;0"
,"pet_lizard_mist","spine01_s","false","true",1000,11,"Origin","0;0;0"
"pet_phoenix_sparks1","pet_phoenix_sparks","L_elbow_s","true","true",500,11,"LockTransform","0;0;0"
,"pet_phoenix_sparks","R_elbow_s","false","true",500,11,"Origin","0;0;0"
,"pet_phoenix_sparks","tailBase_s","false","true",500,11,"Origin","0;0;0"
"pirate_king_sword_sparks","hero_pirateking_sword","R_wrist_s","false","true",100,45,"LockTransform","0;0;0"
"pirate_king_sword_sparks_cheer","hero_pirateking_sword_extended","R_wrist_s","false","true",100,45,"LockTransform","0;0;0"
"pirate_warden_puff","hero_pirate_GW_puff",,"false","true",650,0,"Origin","0;0;0"
"pirate_warden_puff2","hero_pirate_GW_puff2",,"false","true",650,0,"Origin","0;0;0"
"rocket_trail_01","rocket_trail_01",,"false","true",900,-5,"Origin","0;0;0"
,"rocket_trail_02",,"false","false",0,-5,"Origin","0;0;0"
"skeleton_Glow","test2","spine_mid_s","false","true",200,0,"LockTransform","0;0;0"
"skin_aq_clashiversary_eyeshine_idle","hero_clashiversary_reddot","L_eye_s","false","true",200,0,"Origin","0;0;0"
"skin_aq_clashiversary_pixcel_attack","hero_clashiversary_pixel_attack","Root","false","true",200,0,"Origin","0;0;0"
,"hero_clashiversary_reddot","L_eye_s","false","true",200,0,"Origin","0;0;0"
"skin_aq_eyeshine","hero_clashiversary_reddot","L_eye_s","false","true",200,0,"Origin","0;0;0"
,"hero_clashiversary_pixel","Root","false","true",500,0,"Origin","0;0;0"
"skin_aq_ghost_attack","skin_ghost_rc_smoke_attack","Root","true","true",1000,0,"Origin","0;0;0"
,"skin_ghost_rc_smoke_point","jaw_s","true","true",1000,0,"Origin","0;0;0"
,"skin_ghost_aq_smoke_point_wardrobe","weapon_s","true","true",1000,0,"Origin","0;0;0"
"skin_aq_ghost_cheer","skin_ghost_rc_smoke","Root","true","true",1000,0,"Origin","0;0;0"
,"skin_ghost_rc_shine","Root","false","true",1000,0,"Origin","0;0;0"
,"skin_ghost_rc_smoke_point","jaw_s","true","true",1000,0,"Origin","0;0;0"
,"skin_ghost_sparkle_spiral","Root","false","true",1000,0,"Origin","0;0;0"
,"skin_ghost_rc_smoke_point","weapon_s","true","true",1000,0,"Origin","0;0;0"
,"skin_ghost_rc_smoke_point_cheer","arrow_s","false","true",5000,0,"Origin","0;0;0"
"skin_aq_ghost_die","skin_ghost_rc_die","jaw_s","true","true",1000,0,"Origin","0;0;0"
,"skin_ghost_rc_smoke","Root","true","true",1000,0,"Origin","0;0;0"
,"skin_ghost_rc_smoke_point","arrow_s","true","true",1000,0,"Origin","0;0;0"
"skin_aq_ghost_idle","skin_ghost_rc_smoke","Root","true","true",1000,0,"Origin","0;0;0"
,"skin_ghost_rc_smoke_point","jaw_s","true","true",1000,0,"Origin","0;0;0"
"skin_aq_ghost_sleep","skin_ghost_rc_sleep","jaw_s","true","true",1000,0,"Origin","0;0;0"
,"skin_ghost_rc_smoke","Root","true","true",1000,0,"Origin","0;0;0"
"skin_aq_ghost_wardrobe","skin_ghost_rc_smoke_wardrobe","Root","true","true",1000,0,"Origin","0;0;0"
,"skin_ghost_rc_shine","Root","true","true",1000,1000,"Origin","0;0;0"
,"skin_ghost_aq_smoke_point_wardrobe","weapon_s","true","true",1000,0,"Origin","0;0;0"
,"skin_ghost_rc_smoke_point","quiverBase_s","false","true",1000,0,"Origin","0;0;0"
,"skin_ghost_rc_smoke_point_wardrobe","head_s","true","true",1000,0,"Origin","0;0;0"
,"skin_ghost_sparkle_wardrobe_spiral","Root","true","true",1000,0,"LockTransform","0;0;0"
"skin_aq_gingerbread_attack","hero_aq_gingerbread_candy_sprinkle","lollipop_s","true","true",300,0,"Origin","0;0;0"
"skin_aq_gingerbread_idle","hero_aq_gingerbread_candy_sprinkle","lollipop_s","true","true",200,0,"Origin","0;0;0"
"skin_aq_gingerbread_menu","hero_aq_gingerbread_candy_sprinkle","lollipop_s","true","true",200,0,"Origin","0;0;0"
"skin_aq_gingerbread_walk","hero_aq_gingerbread_candy_sprinkle","lollipop_s","true","true",200,0,"Origin","0;0;0"
,"hero_aq_gingerbread_footprint","R_toe_s","false","true",200,0,"Origin","0;0;0"
,"hero_aq_gingerbread_footprint","L_toe_s","false","true",200,0,"Origin","0;0;0"
"skin_aq_gingerbread_wardrobe","hero_aq_gingerbread_candy_sprinkle","lollipop_s","true","true",200,0,"Origin","0;0;0"
,"hero_gingerbread_aq_wardrobe_juicy","lollipop_s","true","true",600,0,"Origin","0;0;0"
"skin_aq_lny24_attack","skin_lny24_watersplash","waterJaw_s","false","true",450,1,"Transform","-90;0;0"
,"skin_aq_lny24_ripple","Root","false","true",800,1,"Transform","0;0;0"
"skin_aq_lny24_celebrate","skin_lny24_water_spiral","DressBot_s","false","true",4000,1,"Transform","0;90;0"
