"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_EVENT_PASS_MINI_PURCHASE_TITLE","Get Mini Event Pass!","احصل على تذكرة الحدث المصغر!","获取迷你活动令牌！","獲取迷你活動通行證！","Hol dir den Mini-Ereignispass!","¡Consigue el minipase de evento!","بلیت رویداد مینی بگیرید!","Hanki minitapahtumapassi!","Obtenez le mini pass d'événement !","Dapatkan Tiket Acara Mini!","Ottieni il Pass del minievento!","ミニイベントパスをゲット！","미니 이벤트 패스를 획득하세요!","Dapatkan Pas Acara Mini!","Koop de mini-Event Pass!","Skaff deg et minipass!","Obtenha o bilhete de minievento!","Покупка пропуска мини-события","รับบัตรอีเวนท์มินิ!","Mini Etkinlik Bileti Al!","Mua Vé Sự kiện Mini!"
"TID_EVENT_PASS_MINI_PURCHASE_TEXT","Purchase Mini Event Pass to get more Rewards!","اشترِ تذكرة الحدث المصغر لنيل مزيد من الجوائز.","购买迷你活动令牌以获取更多奖励！","購買迷你活動通行證以獲取更多獎勵！","Sichere dir den Mini-Ereignispass und hol dir mehr Belohnungen!","Compra el minipase de evento para ganar más recompensas.","برای دریافت جوایز بیشتر، بلیت رویداد مینی را بخرید!","Osta minitapahtumapassi, niin saat enemmän palkintoja!","Achetez le mini pass d'événement pour gagner plus de récompenses !","Beli Tiket Acara Mini untuk meraih lebih banyak Hadiah!","Acquista il Pass del minievento per poter vincere più ricompense!","ミニイベントパスを購入して報酬をさらに獲得しましょう！","미니 이벤트 패스를 구매해 더 많은 보상을 받으세요!","Beli Pas Acara Mini untuk mendapatkan lebih ganjaran!","Koop de mini-Event Pass om meer beloningen te krijgen!","Kjøp minipasset for å få flere belønninger!","Obtenha o bilhete de minievento para ganhar mais recompensas!","Купите пропуск мини-события, чтобы получить больше наград!","ซื้อบัตรอีเวนท์มินิเพื่อรับรางวัลมากขึ้น!","Daha fazla ödül için mini etkinlik bileti satın al!","Mua Vé Sự kiện Mini để nhận thêm phần thưởng!"
"TID_PTE_PERK_NEEDS_PREMIUM_MINI","Unlock with Mini Event Pass","افتح بتذكرة الحدث المصغر","使用迷你活动令牌解锁","使用迷你活動通行證解鎖","Mit Mini-Ereignispass freischalten","Se desbloquea con el minipase de evento.","قفل را با بلیت رویداد مینی بازگشایی کنید","Avaa minitapahtumapassilla","Débloquer avec le mini pass d'événement","Buka dengan Tiket Acara Mini","Sbloccabile col Pass del minievento","ミニイベントパスでアンロック","미니 이벤트 패스로 잠금 해제","Buka dengan Pas Acara Mini","Ontgrendel met de mini-Event Pass.","Lås opp med minipasset","Liberar com bilhete de minievento","Открыть с пропуском мини-события","ปลดล็อคด้วยบัตรอีเวนท์มินิ","Mini etkinlik biletiyle açılır","Mở khóa với Vé Sự kiện Mini."
"TID_PTE_REWARD_LOCKED_NEED_PREMIUM_MINI","You need the Mini Event Pass to unlock this Reward.","تحتاج إلى تذكرة الحدث المصغر لفتح هذه الجائزة.","您需获得迷你活动令牌才能解锁该奖励。","你需獲得迷你活動通行證才能解鎖該獎勵。","Du benötigst den Mini-Ereignispass, um diese Belohnung freizuschalten.","Necesitas el minipase de evento para desbloquear esta recompensa.","برای باز کردن قفل این جایزه، به بلیت رویداد مینی نیاز دارید.","Tarvitset minitapahtumapassin tämän palkinnon avaamiseen.","Il vous faut le mini pass d'événement pour débloquer cette récompense.","Perlu Tiket Acara Mini untuk membuka Hadiah ini.","Ti serve il Pass del minievento per sbloccare la ricompensa.","この報酬をアンロックするにはミニイベントパスが必要です。","해당 보상을 잠금 해제하려면 미니 이벤트 패스가 필요합니다.","Anda perlukan Pas Acara Mini untuk membuka ganjaran ini.","Je hebt de mini-Event Pass nodig om deze beloning te ontgrendelen.","Du må ha minipasset for å låse opp denne belønningen.","Você precisa do bilhete de minievento para liberar esta recompensa.","Чтобы открыть эту награду, нужен пропуск мини-события.","ท่านต้องมีบัตรอีเวนท์มินิเพื่อปลดล็อครางวัลนี้","Bu ödülü açmak için mini etkinlik bileti gerekiyor.","Bạn cần có Vé Sự kiện Mini để mở khóa phần thưởng này."
"TID_PTE_REWARD_LOCKED_NOT_ENOUGH_POINTS_AND_NEED_PREMIUM_MINI","You need <num> more <soft_currency>, and the Mini Event Pass to unlock this Reward.","تحتاج إلى <num> أكثر من <soft_currency> وتذكرة الحدث المصغر لفتح هذه الجائزة.","您还需要<num><soft_currency>并启用迷你活动令牌才能解锁该奖励。","你還需要<num><soft_currency>並啟用迷你活動通行證才能解鎖該獎勵。","Du brauchst noch <num> <soft_currency> und den Mini-Ereignispass, um diese Belohnung freizuschalten.","Necesitas <num> <soft_currency>(s) más y el minipase de evento para desbloquear esta recompensa.","برای باز کردن قفل این جایزه به <num>‏ <soft_currency> دیگر و بلیت رویداد مینی نیاز دارید.","Tämän palkinnon avaamiseen tarvitaan vielä <soft_currency> x <num> ja minitapahtumapassi.","Il vous faut encore <num> <soft_currency> et le mini pass d'événement pour débloquer cette récompense.","Perlu Tiket Acara Mini dan <num> <soft_currency> lagi untuk membuka Hadiah ini.","Per sbloccare la ricompensa ti servono:\n- il Pass del minievento\n- <soft_currency> (ancora <num> unità)","この報酬をアンロックするにはミニイベントパスと<soft_currency>があと<num>必要です。","해당 보상을 잠금 해제하려면 미니 이벤트 패스와 <soft_currency> <num>개가 더 필요합니다.","Anda perlukan <num> <soft_currency> lagi dan Pas Acara Mini untuk membuka ganjaran ini.","Je hebt nog <num> <soft_currency> en de mini-Event Pass nodig om deze beloning te ontgrendelen.","Du må ha <num> til <soft_currency> og minipasset for å låse opp denne belønningen.","Você precisa de mais <num>x <soft_currency> e do bilhete de minievento para liberar esta recompensa.","<soft_currency>: нужно еще <num> ед. и пропуск мини-события, чтобы открыть эту награду.","ท่านต้องมี <soft_currency> อีก <num> หน่วยและบัตรอีเวนท์มินิเพื่อปลดล็อครางวัลนี้","Bu ödülü açmak için mini etkinlik bileti ve <num> <soft_currency> daha gerekiyor.","Bạn cần có thêm <num> <soft_currency> cùng với Vé Sự kiện Mini để mở khóa phần thưởng này."
"TID_EVENT_PASS_MINI_PACKAGE","Mini Event Pass","تذكرة الحدث المصغر","迷你活动令牌","迷你活動通行證","Mini-Ereignispass","Minipase de evento","بلیت رویداد مینی","Minitapahtumapassi","Mini pass d'événement","Tiket Acara Mini","Pass del minievento","ミニイベントパス","미니 이벤트 패스","Pas Acara Mini","Mini-Event Pass","Minipass","Obter bilhete de minievento!","Пропуск мини-события","บัตรอีเวนท์มินิ","Mini Etkinlik Bileti","Vé Sự kiện Mini"
"TID_EVENT_PASS_MINI_PACKAGE_INFO","Purchase Mini Event Pass to get access to more Rewards","اشترِ تذكرة الحدث المصغر للوصول إلى المزيد من الجوائز","购买迷你活动令牌以获取更多奖励","購買迷你活動通行證即有機會獲取更多獎勵","Sichere dir den Mini-Ereignispass, um Zugriff auf mehr Belohnungen zu erhalten.","Compra el minipase de evento para acceder a más recompensas.","برای دسترسی به جوایز بیشتر، بلیت رویداد مینی را بخرید","Osta minitapahtumapassi, niin saat enemmän palkintoja!","Procurez-vous le mini pass d'événement pour débloquer plus de récompenses !","Beli Tiket Acara Mini untuk mengakses lebih banyak Hadiah!","Acquista il Pass del minievento per accedere a ricompense aggiuntive!","ミニイベントパスを購入してさらなる報酬にアクセスしましょう","미니 이벤트 패스를 구매해 더 많은 보상을 획득할 기회를 얻으세요!","Beli Pas Acara Mini untuk mendapat akses kepada lebih ganjaran","Koop de mini-Event Pass om toegang te krijgen tot extra beloningen.","Kjøp et minipass for å få tilgang til flere belønninger","Compre o bilhete de minievento para acessar mais recompensas","Купите пропуск мини-события, чтобы получить доступ к дополнительным наградам","ซื้อบัตรอีเวนท์มินิเพื่อเข้าถึงรางวัลมากขึ้น","Daha fazla ödül için mini etkinlik bileti satın al.","Mua Vé Sự kiện Mini để có thể nhận thêm phần thưởng."
"TID_EP_MINI_GET_BANNER_TITLE","Buy Mini Event Pass","اشتر تذكرة الحدث المصغر","购买迷你活动令牌","購買迷你活動通行證","Mini-Ereignispass kaufen","Comprar minipase de evento","بلیت رویداد مینی بخرید","Osta minitapahtumapassi","Acheter le mini pass d'événement","Dapatkan Tiket Acara Mini","Compra il Pass del minievento!","ミニイベントパスを購入","미니 이벤트 패스 구매","Beli Pas Acara Mini","Mini-Event Pass kopen","Kjøp et minipass","Comprar bilhete de minievento","Покупка пропуска мини-события","ซื้อบัตรอีเวนท์มินิ","Mini Etkinlik Bileti Satın Al","Mua Vé Sự kiện Mini"
"TID_EP_MINI_GET_SCREEN_TITLE","Get Mini Event Pass!","احصل على تذكرة الحدث المصغر!","获取迷你活动令牌！","獲取迷你活動通行證！","Hol dir den Mini-Ereignispass!","¡Consigue el minipase de evento!","بلیت رویداد مینی بگیرید!","Hanki minitapahtumapassi!","Obtenez le mini pass d'événement !","Dapatkan Tiket Acara Mini!","Ottieni il Pass del minievento!","ミニイベントパスをゲット！","미니 이벤트 패스를 획득하세요!","Dapatkan Pas Acara Mini!","Koop de mini-Event Pass!","Skaff deg et minipass!","Obtenha o bilhete de minievento!","Покупка пропуска мини-события","รับบัตรอีเวนท์มินิ!","Mini Etkinlik Bileti Al!","Mua Vé Sự kiện Mini!"
