"Name","Level","IconSWF","IconExportName","TID","InfoTID","Deprecated","AllowedCharacters","Rarity","Claimable","DiamondValue","RequiredBlacksmithLevel","RequiredCharacterLevel","UpgradeResources","UpgradeCosts","MainAbilities","MainAbilityLevels","ExtraAbilities","ExtraAbilityLevels","Speed","HitPoints","AttackRange","AttackSpeedPercentage","DPS","PreviewScenario","HealOnActivation","StrengthWeight"
"String","int","String","String","String","String","boolean","String","String","boolean","int","int","int","String","String","String","String","String","String","int","int","int","int","int","String","int","int"
"Barbarian Crown",1,"sc/ui.sc","icon_gear_BK_BarbDoll","TID_GEAR_TITLE_BARBARIAN_CROWN","TID_GEAR_INFO_BARBARIAN_CROWN",,"Barbarian King;","Common",,,1,1,"CommonOre","120","BarbarianKingSpawnBarbarians","1",,,,281,,,,"GearBarbarianCrown",100,100
,2,,,,,,,,,,1,,"CommonOre; RareOre","240;20",,"1",,,,350,,,,,150,200
,3,,,,,,,,,,1,,"CommonOre","400",,"2",,,,425,,,,,200,300
,4,,,,,,,,,,1,,"CommonOre","600",,"2",,,,513,,,,,250,400
,5,,,,,,,,,,1,,"CommonOre; RareOre","840;100",,"2",,,,590,,,,,300,500
,6,,,,,,,,,,1,,"CommonOre","1120",,"3",,,,668,,,,,350,600
,7,,,,,,,,,,1,,"CommonOre","1440",,"3",,,,760,,,,,400,700
,8,,,,,,,,,,1,,"CommonOre; RareOre","1800;200",,"3",,,,855,,,,,450,800
,9,,,,,,,,,,1,,"CommonOre","1900",,"4",,,,950,,,,,520,900
,10,,,,,,,,,,3,,"CommonOre","2000",,"4",,,,1050,,,,,600,1000
,11,,,,,,,,,,3,,"CommonOre; RareOre","2100;400",,"4",,,,1150,,,,,680,1100
,12,,,,,,,,,,3,,"CommonOre","2200",,"5",,,,1314,,,,,770,1200
,13,,,,,,,,,,5,,"CommonOre","2300",,"5",,,,1596,,,,,860,1300
,14,,,,,,,,,,5,,"CommonOre; RareOre","2400;600",,"5",,,,1898,,,,,940,1400
,15,,,,,,,,,,5,,"CommonOre","2500",,"6",,,,2222,,,,,1060,1900
,16,,,,,,,,,,7,,"CommonOre","2600",,"6",,,,2458,,,,,1130,2000
,17,,,,,,,,,,7,,"CommonOre; RareOre","2700;600",,"6",,,,2812,,,,,1200,2100
,18,,,,,,,,,,7,,,,,"7",,,,3060,,,,,1260,2600
"Iron Fist",1,"sc/ui.sc","icon_gear_BK_RageVial","TID_GEAR_TITLE_IRON_FIST","TID_GEAR_INFO_IRON_FIST",,"Barbarian King;","Common",,,1,1,"CommonOre","120","BarbarianKingRage","1",,,,,,,17,"GearFist",150,100
,2,,,,,,,,,,1,,"CommonOre; RareOre","240;20",,"1",,,,,,,22,,225,200
