"Name","Level","TID","InfoTID","ShortTID","SWF","ExportName","BuildTimeD","BuildTimeH","BuildTimeM","BuildTimeS","BuildResource","BuildCost","AttackRange","AttackSpeed","DPS","CoolDownOverride","AttackEffect","AttackEffect2","HitEffect","Projectile","AirTargets","GroundTargets","MultiTargets","NumMultiTargets","PushBack","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","DieDamageSpell","StrengthWeight","ActivationEffect","SpellOnDamage","DamageToTriggerSpell","SpellOnDamageCount","SelfAsAoeCenter","CustomTargetHitBuildingInRange","CopyOwnerUpgradeLevel","AttackCenterOnDeath","HighlightEffectRed","HighlightEffectGreen","HighlightEffectBlue","PreviewScenario"
"String","int","String","String","String","String","String","int","int","int","int","String","int","int","int","int","int","String","String","String","String","boolean","boolean","boolean","int","int","int","int","String","int","String","int","String","String","int","int","boolean","boolean","boolean","boolean","int","int","int","String"
"Townhall12",1,"TID_WEAPON_TOWN_HALL","TID_TOWN_HALL_WEAPON_INFO",,"sc/buildings.sc","town_hall_lvl12_t1",0,0,0,0,"Gold",0,1000,500,100,,"th12_teslat1_attack_bolt","th12_teslat1_attack","Tesla Hit",,"TRUE","TRUE","TRUE",2,120,,,,,,30000,"th12_teslat1_activate",,,,,,,,,,,"Defense"
,2,,,,,"town_hall_lvl12_t2",1,0,0,0,,3000000,1000,500,120,,"th12_teslat1_attack_bolt","th12_teslat2_attack","Tesla Hit",,"TRUE","TRUE","TRUE",2,,,,,,,35000,"th12_teslat1_activate",,,,,,,,,,,
,3,,,,,"town_hall_lvl12_t3",2,0,0,0,,4200000,1000,500,120,,"th12_teslat3_attack_bolt","th12_teslat3_attack","Tesla Hit",,"TRUE","TRUE","TRUE",3,,,,,,,40000,"th12_teslat3_activate",,,,,,,,,,,
,4,,,,,"town_hall_lvl12_t4",3,0,0,0,,5600000,1000,500,140,,"th12_teslat4_attack_bolt","th12_teslat3_attack","Tesla Hit",,"TRUE","TRUE","TRUE",3,,,,,,,45000,"th12_teslat3_activate",,,,,,,,,,,
,5,,,,,"town_hall_lvl12_t5",4,0,0,0,,7000000,1000,500,140,,"th12_teslat5_attack_bolt","th12_teslat5_attack","Tesla Hit",,"TRUE","TRUE","TRUE",4,,500,400,"Super_Bomb",1600,,50000,"th12_teslat5_activate",,,,,,,,,,,"TownHall12Death"
"GoblinTh02",1,"TID_WEAPON_TOWN_HALL","TID_TOWN_HALL_WEAPON_INFO",,"sc/buildings.sc","goblin_th02",0,0,0,0,"Gold",0,1000,200,150,,"Goblin Townhall Attack",,"Generic Hit","Goblin Townhall Arrow","TRUE","TRUE","TRUE",3,,,,,,,,"Goblin Townhall Activate",,,,,,,,,,,
"Townhall13",1,"TID_WEAPON_TOWN_HALL_13","TID_TOWN_HALL_13_WEAPON_INFO",,"sc/buildings.sc","town_hall_lvl13_t1",0,0,0,0,"Gold",0,1000,128,140,,"TH13 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,120,500,400,"Super_Bomb",1600,"TH13Freeze",65000,"TH13_inferno_activate",,,,,,,,,,,"TownHallDeath"
,2,,,,,"town_hall_lvl13_t2",3,0,0,0,,7500000,1000,128,160,,"TH13 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,550,400,"Super_Bomb",1600,,68000,"TH13_inferno_activate",,,,,,,,,,,
,3,,,,,"town_hall_lvl13_t3",4,0,0,0,,9000000,1000,128,180,,"TH13 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,600,400,"Super_Bomb",1600,,71000,"TH13_inferno_activate",,,,,,,,,,,
,4,,,,,"town_hall_lvl13_t4",5,0,0,0,,10000000,1000,128,200,,"TH13 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,650,400,"Super_Bomb",1600,,74000,"TH13_inferno_activate",,,,,,,,,,,
,5,,,,,"town_hall_lvl13_t5",6,0,0,0,,12000000,1000,128,220,,"TH13 Attack 2",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,700,400,"Super_Bomb",1600,,77000,"TH13_inferno_activate",,,,,,,,,,,
"Townhall14",1,"TID_WEAPON_TOWN_HALL_14","TID_WEAPON_TOWN_HALL_14_INFO",,"sc/buildings.sc","town_hall_lvl14_t1",0,0,0,0,"Gold",0,1000,128,220,,"TH14 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,120,700,400,"Super_Bomb",1600,"TH14Poison",102000,"TH13_inferno_activate",,,,,,,,,,,"TownHallDeath"
,2,,,,,"town_hall_lvl14_t2",5,0,0,0,,7500000,1000,128,235,,"TH14 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,750,400,"Super_Bomb",1600,,107000,"TH13_inferno_activate",,,,,,,,,,,
,3,,,,,"town_hall_lvl14_t3",6,0,0,0,,9000000,1000,128,250,,"TH14 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,800,400,"Super_Bomb",1600,,112000,"TH13_inferno_activate",,,,,,,,,,,
,4,,,,,"town_hall_lvl14_t4",7,0,0,0,,11000000,1000,128,265,,"TH14 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,900,400,"Super_Bomb",1600,,117000,"TH13_inferno_activate",,,,,,,,,,,
,5,,,,,"town_hall_lvl14_t5",8,0,0,0,,12000000,1000,128,280,,"TH14 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,1000,400,"Super_Bomb",1600,,122000,"TH13_inferno_activate",,,,,,,,,,,
"GoblinBossTH",1,"TID_WEAPON_TOWN_HALL","TID_TOWN_HALL_WEAPON_INFO",,"sc/buildings.sc","goblin_th02",0,,,,,,1100,1100,300,,"Bomb Tower Throw Start",,"Bomb Tower Hit","Bomb Tower Ammo1","FALSE","TRUE","TRUE",,,,,,,,,,,,,,,,,,,,
"Townhall15",1,"TID_WEAPON_TOWN_HALL_14","TID_WEAPON_TOWN_HALL_14_INFO",,"sc/buildings.sc","town_hall_lvl15_t1",0,0,0,0,"Gold",0,1000,128,280,,"TH15 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,120,1000,400,"Super_Bomb",1600,"TH15Poison",139000,"TH13_inferno_activate",,,,,,,,,,,"TownHallDeath"
,2,,,,,"town_hall_lvl15_t2",7,0,0,0,,8500000,1000,128,290,,"TH15 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,1000,400,"Super_Bomb",1600,,142000,"TH13_inferno_activate",,,,,,,,,,,
,3,,,,,"town_hall_lvl15_t3",8,0,0,0,,10000000,1000,128,290,,"TH15 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,1100,400,"Super_Bomb",1600,,145000,"TH13_inferno_activate",,,,,,,,,,,
,4,,,,,"town_hall_lvl15_t4",9,0,0,0,,12000000,1000,128,300,,"TH15 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,1100,400,"Super_Bomb",1600,,148000,"TH13_inferno_activate",,,,,,,,,,,
,5,,,,,"town_hall_lvl15_t5",10,0,0,0,,13500000,1000,128,300,,"TH15 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,1100,450,"Super_Bomb",1600,,151000,"TH13_inferno_activate",,,,,,,,,,,
"Unused",1,"TID_WEAPON_TOWN_HALL","TID_TOWN_HALL_WEAPON_INFO",,"sc/buildings.sc","goblin_th02",0,0,0,0,"Gold",0,1000,200,150,,"Goblin Townhall Attack",,"Generic Hit","Goblin Townhall Arrow","TRUE","TRUE","TRUE",3,,,,,,,,"Goblin Townhall Activate",,,,,,,,,,,
"SpellTowerInvisibility",1,"TID_WEAPON_INVISIBILITY_SPELL","TID_BUILDING_SPELL_TOWER_INFO","TID_INVISIBILITY_TOWER_SHORT","sc/buildings.sc","spell_tower_lvl1_invisibility",0,0,0,0,"Gold",0,450,50000,1,48800,,,,"SpellTowerInvisibilityProjectile","TRUE","TRUE",,,,,,,,,,,,,,"TRUE","TRUE","TRUE","TRUE",0,210,180,"DefenseSpellTower3"
,2,,,,,"spell_tower_lvl2_invisibility",0,0,0,0,"Gold",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,"spell_tower_lvl3_invisibility",0,0,0,0,"Gold",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SpellTowerPoison",1,"TID_WEAPON_POISON_SPELL","TID_BUILDING_SPELL_TOWER_INFO","TID_POISON_TOWER_SHORT","sc/buildings.sc","spell_tower_lvl1_poison",0,0,0,0,"Gold",0,900,70000,1,68800,,,,"SpellTowerPoisonProjectile","TRUE","TRUE",,,,,,,,,,,,,,,,"TRUE","TRUE",,,,"DefenseSpellTower1"
,2,,,,,"spell_tower_lvl2_poison",0,0,0,0,"Gold",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,"spell_tower_lvl3_poison",0,0,0,0,"Gold",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SpellTowerRage",1,"TID_WEAPON_RAGE_SPELL","TID_BUILDING_SPELL_TOWER_INFO","TID_RAGE_TOWER_SHORT","sc/buildings.sc","spell_tower_lvl1_rage",0,0,0,0,"Gold",0,900,70000,1,68800,,,,"SpellTowerRageProjectile","TRUE","TRUE",,,,,,,,,,,,,,"TRUE",,"TRUE","TRUE",230,0,230,"DefenseSpellTower2"
,2,,,,,"spell_tower_lvl2_rage",0,0,0,0,"Gold",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,"spell_tower_lvl3_rage",0,0,0,0,"Gold",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Townhall16",1,"TID_WEAPON_TOWN_HALL_14","TID_WEAPON_TOWN_HALL_14_INFO",,"sc/buildings.sc","town_hall_lvl16",0,0,0,0,"Gold",0,1000,128,300,,"TH16 Attack 1","TH16_attack_FX","TH16 Hit",,"TRUE","TRUE","TRUE",4,120,1100,450,"Super_Bomb",1600,"TH15Poison",175000,"TH13_inferno_activate",,,,,,,,,,,"TownHallDeath"
