"Name","Level","VillageType","TargetBuilding","RequiredBuildingLevel","RequiredTownHallLevel","BuildTimeD","BuildTimeH","BuildTimeM","BuildTimeS","BuildResource","BuildCost","MaxStoredGold","MaxStoredElixir","MaxStoredDarkElixir","ResourcePer100Hours","ResourceMax","Hitpoints","DPS","DPSLv2","DPSLv3","AltDPS","ProjectileSpellDamageBoost","StrengthWeight","HintPriority","ExpiresSoon"
"String","int","int","String","int","int","int","int","int","int","String","int","int","int","int","int","int","int","int","int","int","int","int","int","int","boolean"
"Elixir Pump Mini Levels",1,,"Elixir Pump",16,16,1,0,0,0,"Gold",850000,,,,90000,49500,,,,,,,,10,
,2,,,,,1,12,0,0,,750000,,,,180000,99000,,,,,,,,,
,3,,,,,2,0,0,0,,650000,,,,,,50,,,,,,,,
"Gold Mine Mini Levels",1,,"Gold Mine",16,16,1,0,0,0,"Elixir",850000,,,,90000,49500,,,,,,,,10,
,2,,,,,1,12,0,0,,750000,,,,180000,99000,,,,,,,,,
,3,,,,,2,0,0,0,,650000,,,,,,50,,,,,,,,
"Dark Elixir Pump Mini Levels",1,,"Dark Elixir Pump",10,16,1,12,0,0,"Elixir",2550000,,,,2700,630,,,,,,,,15,
,2,,,,,2,0,0,0,,2250000,,,,5400,1260,,,,,,,,,
,3,,,,,2,12,0,0,,1950000,,,,,,50,,,,,,,,
"Tesla Tower Mini Levels",1,,"Tesla Tower",15,,2,0,0,0,"Gold",5000000,,,,,,,5,,,,,25,20,
,2,,,,,3,0,0,0,,3000000,,,,,,50,,,,,,50,,
"Dark Tower Mini Levels",1,,"Dark Tower",10,,2,6,0,0,"Gold",5500000,,,,,,,10,20,200,,,700,25,
,2,,,,,3,6,0,0,,3250000,,,,,,200,,,,,,1400,,
"Scattershot Mini Levels",1,,"Scattershot",5,,2,12,0,0,"Gold",5500000,,,,,,,5,,,,3,175,25,
,2,,,,,3,12,0,0,,3500000,,,,,,150,,,,,,350,,
"Worker Building Mini Levels",1,,"Worker Building",6,,2,0,0,0,"Gold",5000000,,,,,,,7,,,,,90,22,
,2,,,,,3,0,0,0,,2500000,,,,,,50,,,,,,180,,
"Bow Mini Levels",1,,"Bow",11,,2,6,0,0,"Gold",5000000,,,,,,,10,,,,,160,22,
,2,,,,,3,6,0,0,,3125000,,,,,,100,,,,,,320,,
"Mortar Mini Levels",1,,"Mortar",16,,1,18,0,0,"Gold",3750000,,,,,,,3,,,,,75,20,
,2,,,,,2,18,0,0,,2500000,,,,,,75,,,,,,150,,
